size,cpus,time
100,1,0.00185895
200,1,0.016932487
400,1,0.090424776
800,1,0.801995754
1000,1,1.572478056
1200,1,2.697433233
1400,1,4.591564894
1600,1,7.017711401
2000,1,13.1293211
100,2,0
200,2,0.006648779
400,2,0.046837091
800,2,0.437840939
1000,2,0.972453117
1200,2,1.630612612
1400,2,2.589006424
1600,2,3.72028327
2000,2,6.766241789
100,4,0
200,4,0.015625954
400,4,0.012711763
800,4,0.232372284
1000,4,0.455834866
1200,4,0.965801239
1400,4,1.881196499
1600,4,2.422655821
2000,4,3.800330639
100,8,0
200,8,0
400,8,0.015625715
800,8,0.109375
1000,8,0.191884756
1200,8,0.365540743
1400,8,0.687427044
1600,8,0.878709316
2000,8,1.920880795
100,1,0.001001358
200,1,0.013211489
400,1,0.09376049
800,1,0.760190248
1000,1,1.585582972
1200,1,2.70305109
1400,1,4.817066431
1600,1,7.510165691
2000,1,14.0434401
3000,1,70.80034208
100,2,0
200,2,0
400,2,0.046874523
800,2,0.476310015
1000,2,1.090409279
1200,2,1.970578432
1400,2,3.139290333
1600,2,4.500582933
2000,2,8.117884636
3000,2,36.49586415
100,4,0
200,4,0
400,4,0.015625954
800,4,0.197097063
1000,4,0.610434532
1200,4,1.760747194
1400,4,3.243713379
1600,4,3.695689201
2000,4,6.170260906
3000,4,20.49203038
100,8,0
200,8,0
400,8,0.046875477
800,8,0.109186411
1000,8,0.350424528
1200,8,1.016945362
1400,8,3.374256134
1600,8,4.592851639
2000,8,6.317226648
3000,8,14.19742107
100,10,0.015624046
200,10,0.015624046
400,10,0.015625238
800,10,0.129677773
1000,10,0.482216597
1200,10,1.471274376
1400,10,3.153283596
1600,10,4.811691999
2000,10,6.691667795
3000,10,12.83441615
100,16,0
200,16,0.016173363
400,16,0.000305414
800,16,0.091993332
1000,16,0.174967527
1200,16,1.62848568
1400,16,3.002505541
1600,16,5.820960283
2000,16,7.781134129
3000,16,12.46166945
100,1,0.0014213
200,1,0.0116667
400,1,0.0927145
800,1,0.7611642
1000,1,1.6028656
1200,1,2.8877931
1400,1,4.9466693
1600,1,7.5946648
2000,1,13.7293293
3000,1,70.2788776
100,2,0.0015809
200,2,0.0065651
400,2,0.0464552
800,2,0.4304987
1000,2,1.1771545
1200,2,1.9737646
1400,2,3.2253939
1600,2,4.3549486
2000,2,7.8640689
3000,2,37.8058739
100,4,0.0020526
200,4,0.0042305
400,4,0.0330859
800,4,0.368729
1000,4,1.2883185
1200,4,1.9967938
1400,4,3.4322046
1600,4,4.3215697
2000,4,5.9787712
3000,4,20.5808886
100,8,0.0030808
200,8,0.0035895
400,8,0.0136138
800,8,0.1463246
1000,8,0.3524916
1200,8,1.3641717
1400,8,3.1623327
1600,8,4.6454968
2000,8,6.2945281
3000,8,13.5381198
100,10,0.0035639
200,10,0.0046439
400,10,0.0135136
800,10,0.1014246
1000,10,0.2416737
